user_id,cohort_year,seasons_active,avg_rank_score,peak_rank_score,peak_rank,avg_session_mins,avg_sessions_per_week,avg_esports_watch_hrs,is_esports_watcher,avg_agent_diversity,avg_cross_platform_hrs,is_cross_platform,account_age_days,pct_seasons_retained,has_purchased,first_spend_year,transaction_count,total_spend,avg_spend_per_txn,max_single_txn,recency_days
U00001,2021,2,4.5,5,Platinum,46.6,3.3,4.44,Yes,4.0,0.0,No,459,1.0,Yes,2024.0,3,38.6,12.87,13.79,241.0
U00002,2022,4,6.5,7,Ascendant,44.32,5.38,6.55,Yes,4.5,2.95,Yes,1131,1.0,Yes,2022.0,11,292.73,26.61,67.86,111.0
U00003,2021,1,4.0,4,Gold,39.3,5.3,5.39,Yes,1.0,0.0,No,210,1.0,Yes,2021.0,7,48.76,6.97,11.17,127.0
U00004,2022,4,3.0,3,Silver,33.6,6.32,1.47,Yes,5.0,0.32,Yes,1230,1.0,No,,0,0.0,0.0,0.0,
U00005,2024,1,5.0,5,Platinum,38.5,6.7,1.25,Yes,4.0,40.08,Yes,151,1.0,No,,0,0.0,0.0,0.0,
U00006,2024,2,8.0,8,Immortal,56.65,10.15,2.97,Yes,3.5,7.12,Yes,645,0.5,No,,0,0.0,0.0,0.0,
U00007,2022,3,2.0,2,Bronze,40.8,2.97,6.43,Yes,6.33,3.46,Yes,1006,1.0,No,,0,0.0,0.0,0.0,
U00008,2024,2,4.0,4,Gold,44.1,5.2,6.26,Yes,4.5,0.0,No,496,1.0,Yes,2024.0,4,149.0,37.25,54.13,81.0
U00009,2022,3,2.0,3,Silver,43.07,3.6,9.02,Yes,3.33,0.77,Yes,930,0.6667,Yes,2022.0,6,38.32,6.39,11.22,315.0
U00010,2021,3,1.0,1,Iron,26.47,2.57,3.12,Yes,6.0,3.69,Yes,1067,1.0,No,,0,0.0,0.0,0.0,
U00011,2021,3,5.0,5,Platinum,43.77,4.8,9.15,Yes,6.67,1.42,Yes,997,0.6667,Yes,2023.0,10,448.59,44.86,65.47,16.0
U00012,2022,4,5.25,6,Diamond,43.75,6.0,1.8,Yes,4.0,4.24,Yes,1155,0.75,Yes,2021.0,2,12.29,6.14,8.45,1630.0
U00013,2021,2,4.5,5,Platinum,52.55,8.5,13.54,Yes,2.5,6.74,Yes,673,1.0,No,,0,0.0,0.0,0.0,
U00014,2024,1,5.0,5,Platinum,49.9,6.9,7.39,Yes,6.0,0.0,No,283,0.0,No,,0,0.0,0.0,0.0,
U00015,2024,2,8.0,8,Immortal,46.05,7.6,15.76,Yes,6.0,3.56,Yes,672,1.0,No,,0,0.0,0.0,0.0,
U00016,2024,2,7.0,7,Ascendant,51.1,7.7,11.08,Yes,4.0,0.49,Yes,523,0.0,No,,0,0.0,0.0,0.0,
U00017,2024,2,1.5,2,Bronze,30.0,5.15,1.22,Yes,4.5,0.0,No,537,0.5,No,,0,0.0,0.0,0.0,
U00018,2021,1,6.0,6,Diamond,57.1,5.0,3.19,Yes,1.0,0.0,No,280,1.0,No,,0,0.0,0.0,0.0,
U00019,2023,3,5.0,5,Platinum,52.53,6.43,4.69,Yes,5.0,5.19,Yes,1022,1.0,Yes,2023.0,5,28.68,5.74,8.58,95.0
U00020,2021,2,2.0,2,Bronze,31.45,4.15,9.56,Yes,4.5,0.0,No,496,0.5,Yes,2021.0,2,11.48,5.74,7.84,1533.0
U00021,2021,3,1.0,1,Iron,29.23,3.7,1.1,Yes,6.0,3.52,Yes,1002,0.6667,No,,0,0.0,0.0,0.0,
U00022,2021,3,5.0,5,Platinum,46.77,5.73,4.85,Yes,5.67,0.0,No,819,1.0,Yes,2024.0,22,3057.12,138.96,251.03,9.0
U00023,2023,3,5.67,6,Diamond,55.87,4.97,2.99,Yes,4.67,0.0,No,918,0.0,No,,0,0.0,0.0,0.0,
U00024,2022,1,2.0,2,Bronze,33.8,6.2,5.58,Yes,4.0,0.0,No,21,1.0,Yes,2023.0,4,32.1,8.02,10.75,9.0
U00025,2024,1,6.0,6,Diamond,61.1,8.9,0.42,No,1.0,14.83,Yes,176,1.0,No,,0,0.0,0.0,0.0,
U00026,2021,3,3.67,4,Gold,43.3,5.27,8.0,Yes,3.0,8.53,Yes,1037,0.3333,No,,0,0.0,0.0,0.0,
U00027,2021,2,4.5,5,Platinum,52.55,5.7,4.54,Yes,7.0,0.0,No,635,1.0,Yes,2022.0,7,57.43,8.2,11.75,50.0
U00028,2022,3,2.0,3,Silver,31.6,5.33,1.82,Yes,5.67,0.0,No,806,0.6667,Yes,2021.0,3,20.91,6.97,7.94,1350.0
U00029,2021,3,5.0,5,Platinum,51.77,5.4,4.08,Yes,4.33,4.09,Yes,1050,1.0,Yes,2024.0,23,3992.04,173.57,260.65,29.0
U00030,2024,2,7.0,7,Ascendant,60.25,6.2,2.48,Yes,5.5,3.45,Yes,474,1.0,Yes,2021.0,6,32.85,5.48,12.24,550.0
U00031,2022,4,5.0,5,Platinum,55.4,7.52,1.56,Yes,6.5,0.08,Yes,1391,0.75,Yes,2022.0,4,20.9,5.22,10.62,494.0
U00032,2022,3,4.33,5,Platinum,40.87,6.13,4.19,Yes,4.0,0.0,No,796,0.6667,No,,0,0.0,0.0,0.0,
U00033,2022,2,7.5,8,Immortal,53.1,5.3,3.5,Yes,7.0,4.2,Yes,617,1.0,Yes,2024.0,6,307.26,51.21,64.39,56.0
U00034,2023,1,6.0,6,Diamond,52.0,4.8,0.33,No,7.0,0.0,No,187,1.0,No,,0,0.0,0.0,0.0,
U00035,2023,3,5.0,6,Diamond,55.03,4.6,2.27,Yes,6.0,6.4,Yes,835,1.0,Yes,2023.0,4,24.96,6.24,13.08,421.0
U00036,2023,3,6.0,6,Diamond,43.13,5.53,4.5,Yes,5.33,0.0,No,955,0.6667,Yes,2024.0,22,3439.58,156.34,270.4,3.0
U00037,2021,3,4.33,5,Platinum,44.37,5.3,10.7,Yes,4.0,2.71,Yes,744,1.0,No,,0,0.0,0.0,0.0,
U00038,2023,3,2.0,2,Bronze,29.43,5.07,0.81,Yes,3.0,1.94,Yes,834,0.6667,Yes,2022.0,4,32.07,8.02,11.35,473.0
U00039,2024,2,5.0,5,Platinum,56.6,3.55,5.0,Yes,4.0,1.71,Yes,495,1.0,Yes,2024.0,4,35.1,8.78,14.06,62.0
U00040,2021,2,1.5,2,Bronze,36.9,3.2,0.62,No,2.5,8.2,Yes,664,1.0,No,,0,0.0,0.0,0.0,
U00041,2022,3,5.0,5,Platinum,46.5,4.2,3.35,Yes,5.67,11.32,Yes,969,0.6667,Yes,2021.0,42,5290.01,125.95,262.87,14.0
U00042,2023,3,7.0,7,Ascendant,54.47,6.73,4.56,Yes,5.33,0.0,No,1012,0.6667,No,,0,0.0,0.0,0.0,
U00043,2023,1,8.0,8,Immortal,47.9,9.5,11.18,Yes,2.0,0.0,No,190,1.0,Yes,2024.0,3,19.86,6.62,8.78,260.0
U00044,2022,3,5.0,5,Platinum,35.53,4.03,3.77,Yes,5.33,5.35,Yes,1002,1.0,No,,0,0.0,0.0,0.0,
U00045,2022,1,5.0,5,Platinum,49.2,5.4,1.34,Yes,1.0,0.0,No,32,1.0,No,,0,0.0,0.0,0.0,
U00046,2022,2,3.5,4,Gold,46.8,5.6,2.58,Yes,5.0,6.44,Yes,707,0.5,No,,0,0.0,0.0,0.0,
U00047,2024,2,7.0,7,Ascendant,43.55,6.6,3.68,Yes,6.0,0.0,No,500,1.0,No,,0,0.0,0.0,0.0,
U00048,2022,4,5.25,6,Diamond,37.45,6.02,2.44,Yes,4.25,1.33,Yes,1114,1.0,Yes,2024.0,26,3843.97,147.84,282.92,33.0
U00049,2023,1,1.0,1,Iron,29.2,2.9,0.09,No,4.0,0.0,No,298,1.0,No,,0,0.0,0.0,0.0,
U00050,2021,3,7.67,8,Immortal,59.4,7.0,6.09,Yes,3.67,0.0,No,981,0.3333,Yes,2023.0,7,330.13,47.16,72.26,118.0
U00051,2023,2,1.0,1,Iron,40.7,4.15,12.47,Yes,3.5,3.92,Yes,670,1.0,No,,0,0.0,0.0,0.0,
U00052,2023,2,3.0,3,Silver,35.35,6.6,1.3,Yes,4.5,5.26,Yes,551,0.5,Yes,2021.0,15,494.12,32.94,63.63,46.0
U00053,2021,1,4.0,4,Gold,50.2,7.1,26.99,Yes,3.0,0.0,No,62,0.0,Yes,2021.0,6,48.04,8.01,8.8,485.0
U00054,2021,4,4.0,4,Gold,39.08,5.98,6.83,Yes,6.25,3.7,Yes,1154,0.0,Yes,2021.0,1,2.68,2.68,2.68,1512.0
U00055,2024,1,2.0,2,Bronze,31.8,1.5,2.02,Yes,6.0,6.84,Yes,5,1.0,Yes,2021.0,6,39.19,6.53,10.41,392.0
U00056,2024,2,4.5,5,Platinum,55.9,3.3,4.48,Yes,5.5,2.22,Yes,596,1.0,Yes,2023.0,8,343.74,42.97,64.74,112.0
U00057,2021,1,1.0,1,Iron,28.2,5.5,12.42,Yes,6.0,2.95,Yes,7,0.0,Yes,2021.0,7,30.58,4.37,9.06,41.0
U00058,2022,2,3.0,3,Silver,38.55,5.1,2.7,Yes,7.5,0.0,No,653,1.0,No,,0,0.0,0.0,0.0,
U00059,2023,3,2.0,3,Silver,20.67,3.8,4.37,Yes,5.67,8.0,Yes,1024,1.0,Yes,2023.0,5,30.85,6.17,8.83,129.0
U00060,2023,1,8.0,8,Immortal,70.9,9.7,0.53,No,1.0,0.0,No,200,0.0,Yes,2021.0,1,9.89,9.89,9.89,1650.0
U00061,2022,2,3.0,3,Silver,31.4,3.75,4.6,Yes,5.0,0.22,Yes,525,0.5,No,,0,0.0,0.0,0.0,
U00062,2021,3,3.67,4,Gold,44.03,5.13,2.37,Yes,4.33,0.0,No,930,0.6667,No,,0,0.0,0.0,0.0,
U00063,2024,2,3.0,3,Silver,38.65,4.65,9.48,Yes,6.5,0.76,Yes,473,1.0,Yes,2024.0,2,17.34,8.67,10.3,183.0
U00064,2023,1,7.0,7,Ascendant,55.6,6.8,9.09,Yes,3.0,3.1,Yes,21,1.0,Yes,2024.0,7,241.42,34.49,57.39,28.0
U00065,2022,2,4.5,5,Platinum,33.6,6.35,3.6,Yes,5.0,0.0,No,438,1.0,Yes,2021.0,4,30.51,7.63,9.77,837.0
U00066,2023,3,6.0,6,Diamond,45.73,4.6,3.43,Yes,4.33,0.0,No,964,1.0,Yes,2023.0,38,5840.57,153.7,283.03,4.0
U00067,2023,3,2.33,3,Silver,33.4,3.9,2.34,Yes,4.67,1.71,Yes,811,1.0,Yes,2022.0,2,6.76,3.38,4.01,1320.0
U00068,2024,1,1.0,1,Iron,49.7,5.2,3.34,Yes,4.0,0.0,No,271,1.0,No,,0,0.0,0.0,0.0,
U00069,2022,3,5.0,5,Platinum,48.8,4.4,6.88,Yes,4.0,1.04,Yes,843,1.0,No,,0,0.0,0.0,0.0,
U00070,2024,2,9.0,9,Radiant,64.05,5.8,13.92,Yes,4.5,0.0,No,555,0.5,Yes,2023.0,4,27.3,6.82,11.99,435.0
U00071,2024,2,3.5,4,Gold,21.45,8.95,5.96,Yes,6.5,0.01,Yes,507,0.5,No,,0,0.0,0.0,0.0,
U00072,2023,3,3.0,4,Gold,45.87,4.7,7.72,Yes,6.33,0.16,Yes,949,1.0,Yes,2022.0,10,389.81,38.98,71.07,23.0
U00073,2024,2,3.0,3,Silver,24.1,4.6,8.34,Yes,6.5,0.0,No,380,0.5,No,,0,0.0,0.0,0.0,
U00074,2023,3,4.0,4,Gold,46.8,6.63,4.25,Yes,3.33,13.26,Yes,1057,0.6667,Yes,2021.0,7,46.54,6.65,13.68,29.0
U00075,2024,2,5.5,6,Diamond,50.6,4.2,1.04,Yes,2.5,8.3,Yes,421,0.0,No,,0,0.0,0.0,0.0,
U00076,2023,3,8.0,8,Immortal,60.33,6.7,1.93,Yes,7.0,3.43,Yes,1022,0.6667,No,,0,0.0,0.0,0.0,
U00077,2023,3,6.0,7,Ascendant,55.4,7.23,2.06,Yes,4.33,0.0,No,740,1.0,No,,0,0.0,0.0,0.0,
U00078,2021,4,5.0,5,Platinum,38.65,4.58,1.5,Yes,6.75,0.0,No,1317,0.25,No,,0,0.0,0.0,0.0,
U00079,2024,2,4.0,4,Gold,45.3,6.35,1.98,Yes,5.5,0.04,Yes,558,1.0,Yes,2023.0,1,8.21,8.21,8.21,908.0
U00080,2023,1,5.0,5,Platinum,34.2,5.3,1.36,Yes,5.0,0.0,No,270,1.0,No,,0,0.0,0.0,0.0,
U00081,2021,1,5.0,5,Platinum,43.4,4.5,14.04,Yes,1.0,0.0,No,298,0.0,No,,0,0.0,0.0,0.0,
U00082,2021,3,4.67,5,Platinum,36.8,3.13,8.78,Yes,7.33,1.28,Yes,799,0.6667,Yes,2022.0,2,59.62,29.81,32.7,1254.0
U00083,2024,2,2.0,2,Bronze,39.1,3.5,0.67,Yes,4.0,0.0,No,496,1.0,Yes,2023.0,8,308.22,38.53,65.17,7.0
U00084,2023,1,2.0,2,Bronze,27.9,3.6,12.19,Yes,1.0,0.0,No,273,0.0,No,,0,0.0,0.0,0.0,
U00085,2022,2,3.0,3,Silver,52.6,4.35,11.9,Yes,3.0,0.4,Yes,506,0.5,No,,0,0.0,0.0,0.0,
U00086,2024,2,6.0,6,Diamond,52.4,7.2,0.66,Yes,5.0,0.0,No,607,0.5,Yes,2021.0,6,24.28,4.05,7.55,777.0
U00087,2024,2,1.5,2,Bronze,30.35,4.45,5.05,Yes,4.0,2.24,Yes,570,0.5,Yes,2022.0,11,414.48,37.68,62.61,32.0
U00088,2022,4,1.0,1,Iron,27.15,3.4,5.41,Yes,6.5,0.03,Yes,1187,1.0,Yes,2023.0,4,35.35,8.84,13.51,93.0
U00089,2022,4,5.0,5,Platinum,42.45,8.88,0.94,Yes,6.75,3.74,Yes,1118,1.0,No,,0,0.0,0.0,0.0,
U00090,2021,4,2.25,3,Silver,37.38,4.25,5.93,Yes,3.5,3.68,Yes,1219,0.75,No,,0,0.0,0.0,0.0,
U00091,2021,2,6.0,6,Diamond,46.55,5.6,2.54,Yes,5.5,0.0,No,559,0.5,No,,0,0.0,0.0,0.0,
U00092,2023,3,3.0,3,Silver,40.9,6.47,4.31,Yes,5.0,0.81,Yes,878,0.6667,No,,0,0.0,0.0,0.0,
U00093,2023,3,4.0,4,Gold,31.03,4.1,3.2,Yes,6.33,5.16,Yes,957,0.6667,Yes,2021.0,3,22.35,7.45,10.95,1265.0
U00094,2024,2,5.0,5,Platinum,53.2,6.0,2.4,Yes,4.5,2.4,Yes,517,0.0,No,,0,0.0,0.0,0.0,
U00095,2022,3,4.67,5,Platinum,50.43,8.13,10.03,Yes,4.33,1.6,Yes,1027,1.0,Yes,2022.0,10,360.88,36.09,61.17,366.0
U00096,2024,2,2.5,3,Silver,26.05,8.25,1.38,Yes,4.0,0.0,No,602,1.0,No,,0,0.0,0.0,0.0,
U00097,2024,2,4.0,4,Gold,41.25,5.05,6.98,Yes,5.0,1.1,Yes,605,0.0,No,,0,0.0,0.0,0.0,
U00098,2023,3,4.0,4,Gold,45.93,7.33,4.63,Yes,5.67,0.0,No,904,1.0,Yes,2022.0,51,7644.77,149.9,287.22,78.0
U00099,2022,3,9.0,9,Radiant,60.27,5.73,2.33,Yes,5.67,3.15,Yes,757,1.0,Yes,2022.0,9,405.26,45.03,64.29,226.0
U00100,2024,2,3.0,3,Silver,41.2,4.35,8.32,Yes,5.0,0.0,No,493,1.0,Yes,2021.0,4,67.63,16.91,24.2,1125.0
U00101,2021,2,4.0,4,Gold,37.25,6.35,15.09,Yes,3.5,2.12,Yes,716,1.0,Yes,2023.0,3,35.11,11.7,13.19,2.0
U00102,2021,5,8.6,9,Radiant,63.38,6.52,8.72,Yes,7.2,7.4,Yes,1727,1.0,No,,0,0.0,0.0,0.0,
U00103,2021,5,4.8,6,Diamond,50.9,5.86,2.67,Yes,6.0,5.62,Yes,1788,0.8,Yes,2022.0,10,333.53,33.35,60.33,131.0
U00104,2021,2,5.0,5,Platinum,53.8,3.1,6.58,Yes,4.0,0.0,No,451,0.5,No,,0,0.0,0.0,0.0,
U00105,2024,2,3.5,4,Gold,42.05,3.75,9.0,Yes,2.5,4.0,Yes,703,1.0,Yes,2024.0,3,22.95,7.65,10.32,242.0
U00106,2022,1,3.0,3,Silver,24.9,1.5,8.01,Yes,3.0,2.46,Yes,251,0.0,No,,0,0.0,0.0,0.0,
U00107,2024,2,1.5,2,Bronze,29.85,2.5,0.9,Yes,2.5,7.66,Yes,593,1.0,No,,0,0.0,0.0,0.0,
