user_id,rank,account_age_days,avg_session_mins,sessions_per_week,esports_watch_hrs,is_esports_watcher,primary_agent,primary_role,agent_diversity,cross_platform_hrs,is_cross_platform,primary_other_platform,retained_30d
U00001,Silver,509,51.1,5.3,10.39,1,Clove,Controller,2,2.92,1,Legends of Runeterra,1
U00002,Ascendant,1072,41.5,8,7.31,1,Gekko,Initiator,4,27.41,1,Wild Rift,1
U00003,Platinum,113,56.1,10.1,1.63,0,Brimstone,Controller,4,0,0,None,1
U00004,Gold,594,46.3,8,9.8,1,Omen,Controller,2,5.81,1,Legends of Runeterra,1
U00005,Bronze,648,31,2.1,13.14,1,Reyna,Duelist,1,0,0,None,1
U00006,Bronze,386,52.3,4.3,0.31,0,Sova,Initiator,4,9.83,1,Wild Rift,1
U00007,Iron,845,29.8,6.2,0.02,0,Viper,Controller,2,0,0,None,1
U00008,Diamond,676,66.3,8.9,1.12,0,Skye,Initiator,7,5.54,1,Legends of Runeterra,1
U00009,Gold,472,50.4,9.7,0.17,0,Viper,Controller,5,0,0,None,1
U00010,Platinum,552,58.5,8.7,0.07,0,Sova,Initiator,2,0,0,None,1
U00011,Iron,172,41.9,5.9,4.96,1,Raze,Duelist,6,0,0,None,0
U00012,Ascendant,221,59.4,8.2,8.66,1,Killjoy,Sentinel,10,3.33,1,TFT,1
U00013,Diamond,407,52.6,9.6,16.03,1,Sova,Initiator,3,1.39,1,Legends of Runeterra,1
U00014,Bronze,610,29.3,8.7,5.97,1,Brimstone,Controller,6,0,0,None,1
U00015,Bronze,564,38.8,6.4,9.52,1,Breach,Initiator,3,0,0,None,1
U00016,Bronze,1062,49,4.2,5.37,1,Sage,Sentinel,3,0,0,None,1
U00017,Silver,122,49.6,7.5,6.29,1,Deadlock,Sentinel,7,7.61,1,Wild Rift,1
U00018,Gold,558,50,6.3,0.55,0,Brimstone,Controller,6,0,0,None,1
U00019,Silver,434,15.9,8.7,1.24,0,Omen,Controller,3,0,0,None,1
U00020,Silver,869,38.4,12.2,0.25,0,Killjoy,Sentinel,6,3.96,1,Wild Rift,1
U00021,Gold,918,40.2,4.1,0.42,0,Gekko,Initiator,5,17.99,1,Wild Rift,1
